2-9-2020
Entire Season - home
San Antonio, 8, 18, -3.000000, 53.400000, 11.400000, 20.400000, 20.200000, 55.400000, 12.300000, 24.100000, 18.300000
Toronto, 19, 7, 5.500000, 53.000000, 14.700000, 24.200000, 18.700000, 50.300000, 17.300000, 27.900000, 20.100000
Utah, 15, 13, 0.800000, 54.500000, 14.600000, 23.600000, 22.100000, 51.900000, 11.700000, 25.300000, 18.300000
Washington, 6, 20, -9.100000, 53.100000, 13.500000, 23.800000, 20.800000, 57.900000, 14.700000, 27.800000, 24.800000

Last 2 Weeks - home
Atlanta, 3, 1, 4.500000, 56.200000, 14.500000, 25.800000, 28.300000, 54.200000, 13.000000, 24.200000, 27.700000
Boston, 4, 0, 13.600000, 56.200000, 15.400000, 28.900000, 24.000000, 48.500000, 15.700000, 21.700000, 30.700000
Brooklyn, 4, 0, 18.000000, 60.700000, 15.500000, 27.200000, 21.800000, 48.900000, 12.200000, 23.400000, 19.800000
Charlotte, 1, 2, -10.300000, 47.700000, 13.300000, 33.100000, 16.500000, 58.400000, 12.200000, 21.900000, 11.200000
Chicago, 1, 1, -2.900000, 54.300000, 13.900000, 28.200000, 14.100000, 59.500000, 16.300000, 25.600000, 20.200000
Cleveland, 0, 6, -15.700000, 53.500000, 17.300000, 29.900000, 13.300000, 61.400000, 12.400000, 24.300000, 18.400000
Dallas, 1, 2, -11.500000, 50.800000, 12.100000, 25.500000, 20.600000, 57.700000, 10.000000, 23.200000, 19.000000
Denver, 3, 0, 14.400000, 55.600000, 12.800000, 30.400000, 21.100000, 51.500000, 14.700000, 23.700000, 16.500000
Detroit, 2, 4, -4.900000, 52.500000, 14.000000, 26.800000, 17.300000, 55.300000, 14.100000, 29.700000, 15.100000
Golden State, 0, 1, -4.600000, 59.700000, 17.100000, 20.800000, 17.000000, 61.000000, 22.600000, 39.500000, 30.500000
Houston, 3, 1, 5.300000, 53.300000, 6.900000, 21.000000, 16.100000, 54.700000, 18.200000, 32.100000, 19.900000
Indiana, 1, 4, -3.600000, 52.900000, 13.900000, 21.100000, 17.600000, 53.700000, 15.200000, 25.900000, 19.400000
LA Clippers, 3, 1, 1.900000, 54.100000, 13.200000, 22.500000, 18.400000, 53.200000, 11.300000, 19.000000, 18.100000
LA Lakers, 1, 2, 0.300000, 57.700000, 15.300000, 29.300000, 16.900000, 56.800000, 9.400000, 15.800000, 15.400000
Memphis, 3, 0, 9.600000, 54.900000, 17.500000, 22.500000, 12.500000, 42.500000, 17.300000, 30.100000, 17.900000
Miami, 2, 1, 15.500000, 54.600000, 8.100000, 21.500000, 25.700000, 49.400000, 12.600000, 25.700000, 21.400000
Milwaukee, 3, 1, 7.700000, 56.900000, 14.100000, 27.000000, 21.500000, 51.300000, 10.600000, 23.100000, 16.700000
Minnesota, 1, 3, 1.200000, 59.400000, 15.200000, 21.600000, 18.300000, 57.500000, 15.500000, 19.300000, 30.000000
New Orleans, 2, 1, 8.900000, 54.300000, 16.600000, 33.300000, 20.900000, 51.700000, 14.000000, 22.500000, 16.900000
New York, 2, 1, -2.800000, 51.800000, 15.300000, 31.400000, 13.900000, 54.000000, 16.400000, 23.100000, 29.000000
